StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2_1,Q3,Q4,Q5_1,Q5_2,Q5_3
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Which category applies to your major?,How frequently do you use AI tools for academic purposes? - Please pick a choice from 0 to 5,Please select all AI tools and services you use/have used for academic purposes,Please select all academic tasks you use/have used AI for,Rank your agreement with the following statements - AI improves my learning experience as a student,Rank your agreement with the following statements - AI tools are accessible to me,Rank your agreement with the following statements - AI tools are more beneficial in my field of study compared to others
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}"
2025-03-12 12:25:49,2025-03-12 12:26:50,Survey Preview,,100,60,True,2025-03-12 12:26:50,R_5lfnQpRjztZharG,,,,,29.6138,-82.386,preview,EN,,,,,,,
2025-03-12 17:42:21,2025-03-12 17:43:50,Survey Preview,,100,89,True,2025-03-12 17:43:51,R_5QM7p1PoFLyLfzv,,,,,29.6475,-82.404,preview,EN,Engineering Major,3,"ChatGPT,DeepSeek,Grammarly AI","Writing and Editing, Coding, Research and Information Gathering, Studying and Note-Taking, Math and Problem Solving" ,3,4,2
2025-03-27 09:11:04,2025-03-27 09:11:20,IP Address,128.227.1.25,100,15,True,2025-03-27 09:11:20,R_7RWcjugGj3xIZWn,,,,,29.6138,-82.386,anonymous,EN,,,DeepSeek,"Studying and Note-Taking" ,3,3,3
2025-03-27 09:11:24,2025-03-27 09:12:01,IP Address,174.228.178.204,100,36,True,2025-03-27 09:12:01,R_5vjCCVHJkb7tRlh,,,,,28.53,-81.4057,anonymous,EN,Engineering Major,3,ChatGPT,"Writing and Editing, Coding, Research and Information Gathering, Productivity and Organization" ,4,3,4
2025-03-27 09:11:11,2025-03-27 09:12:15,IP Address,128.227.1.27,100,63,True,2025-03-27 09:12:16,R_6d3I5osOAptNjS2,,,,,29.6138,-82.386,anonymous,EN,Liberal Arts and Sciences Major,3,"ChatGPT,Gemini,Grammarly AI","Writing and Editing, Research and Information Gathering, Studying and Note-Taking" ,5,5,5
2025-03-27 09:32:50,2025-03-27 09:34:05,IP Address,68.234.232.26,100,74,True,2025-03-27 09:34:05,R_6HUehNzwMkcLGgO,,,,,29.6475,-82.404,anonymous,EN,Business Major,5,"ChatGPT,Gemini,Claude","Writing and Editing, Coding, Research and Information Gathering, Studying and Note-Taking, Data Analysis and Visualization, Math and Problem Solving, Presentation and Content Creation, Career and Professional Development" ,5,5,4
2025-03-28 10:12:47,2025-03-28 10:14:03,IP Address,184.185.222.15,100,76,True,2025-03-28 10:14:04,R_1KZMLj1X7Hp3Jjm,,,,,29.6467,-82.3284,anonymous,EN,Liberal Arts and Sciences Major,5,"ChatGPT,DeepSeek,Claude","Writing and Editing, Coding, Research and Information Gathering, Studying and Note-Taking, Math and Problem Solving" ,5,5,5
2025-03-28 11:21:15,2025-03-28 11:21:57,IP Address,184.185.222.13,100,41,True,2025-03-28 11:21:58,R_3yfhyhKEILaafRf,,,,,29.6467,-82.3284,anonymous,EN,Engineering Major,3,"ChatGPT,Gemini","Writing and Editing, Coding, Math and Problem Solving, Career and Professional Development" ,4,5,3
